month,lat,lon,observed,predicted,squared_error
2015-07-01,4.0,-90.0,37.0121,9.969179,731.3195797972767
2015-01-01,-12.0,-74.0,29.960632,8.885651,444.1548532107845
2015-12-01,2.0,-90.0,25.470734,4.4094443,443.5779074186996
2016-05-01,6.0,-84.0,32.9113,13.201247,388.48620676173687
2016-01-01,-12.0,-44.0,20.175934,3.7870321,268.5960992767659
2016-03-01,2.0,-28.0,26.018143,9.8038435,262.9034986108536
2016-04-01,-4.0,-34.0,23.5672,9.208865,206.161770800486
2015-12-01,2.0,-84.0,20.044327,5.986109,197.63349340073546
2015-08-01,6.0,-82.0,30.406952,16.382982,196.67172475165353
2015-06-01,4.0,-90.0,23.176193,9.418614,189.2709758082574
2016-03-01,8.0,-72.0,23.675919,10.064035,185.28336325547207
2016-03-01,-2.0,-50.0,23.633957,10.150841,181.7944211117574
2016-01-01,-12.0,-40.0,15.4953,2.0544026,180.65773106710145
2016-05-01,-50.0,-74.0,1.1425018,14.431207,176.58967717860742
2015-01-01,2.0,-32.0,24.360657,11.351114,169.24819515410127
2015-05-01,6.0,-32.0,18.188477,5.5783377,159.01560290396537
2015-01-01,2.0,-36.0,23.68164,11.085899,158.65269819047535
2015-12-01,2.0,-86.0,17.902374,5.5436974,152.73689497566374
2016-04-01,-34.0,-70.0,14.976501,2.6576283,151.75463610556795
2016-01-01,-50.0,-74.0,9.4947815,21.511356,144.39807135683077
2015-10-01,8.0,-88.0,24.61052,12.741767,140.86728542090077
2016-03-01,-6.0,-90.0,19.407272,7.538713,140.8627012938107
2015-01-01,2.0,-34.0,23.55194,11.870554,136.45480102030342
2015-07-01,4.0,-88.0,22.474289,10.935303,133.14820266352035
2015-03-01,4.0,-90.0,19.292831,7.7619333,132.96161085830045
2015-10-01,6.0,-90.0,28.650284,17.188263,131.377922516549
2016-04-01,-32.0,-58.0,15.384674,3.9385478,131.0138055039311
2015-08-01,6.0,-28.0,20.215988,8.849698,129.19255046614217
2015-06-01,4.0,-88.0,22.10617,10.919704,125.13702642499993
2015-04-01,-2.0,-80.0,20.841599,9.702256,124.08494705578869
