lat,lon,rmse,sse
4.0,-90.0,8.568037956620902,1247.99166524364
2.0,-90.0,6.691287003668592,761.1464700128914
-50.0,-74.0,6.369226999764046,689.6398937668964
6.0,-84.0,5.945130271066081,600.8577569790864
-12.0,-74.0,5.7468555667105115,561.4479313787372
4.0,-88.0,5.692469798701921,550.8716109552693
2.0,-28.0,5.565895151687009,526.6462102727402
2.0,-32.0,5.486288544324471,511.68915385696073
6.0,-90.0,5.393969281465524,494.613378359693
4.0,-78.0,5.2414504880579935,467.03765471897736
2.0,-36.0,5.231936840013458,465.3437726641302
2.0,-34.0,5.120594654710527,445.74832350345037
6.0,-78.0,5.080926163124694,438.86878147712537
-48.0,-74.0,4.964312182070818,418.9547224979642
4.0,-32.0,4.789358759132919,389.94527450261467
6.0,-82.0,4.647740512491705,367.2253618147631
6.0,-32.0,4.636204283531952,365.4046326968804
6.0,-28.0,4.6197649326994705,362.8178765677956
2.0,-84.0,4.466930799773453,339.2090030893999
-12.0,-44.0,4.436310355795597,334.5744427399674
8.0,-72.0,4.383473759744408,326.6523174402522
4.0,-28.0,4.322295089840963,317.5979923422761
2.0,-38.0,4.312688841975201,316.18784581085583
2.0,-78.0,4.277609406875595,311.06501804244
2.0,-86.0,4.259792287962625,308.47911572195954
-42.0,-72.0,4.250546008157247,307.1414032468456
-34.0,-70.0,4.191609243475761,298.6829968498545
4.0,-34.0,4.187859470214649,298.14883801853085
6.0,-36.0,4.166205834900339,295.07360799887977
-52.0,-74.0,4.160390616213024,294.25045135104756
-46.0,-74.0,4.137593524565821,291.03456296699324
2.0,-88.0,4.11046542278002,287.2307418617922
-4.0,-34.0,4.066865850882071,281.16976343420276
4.0,-84.0,4.039604669944881,277.41290012048836
-2.0,-80.0,4.0389576178693565,277.32403686206345
-2.0,-56.0,4.033657768011257,276.5967148204384
4.0,-30.0,3.947118835048287,264.8557006658801
2.0,-40.0,3.9114809706662395,260.0946175260298
-16.0,-50.0,3.899739679857434,258.5354827011276
-26.0,-54.0,3.8842929393560826,256.4914378584358
-32.0,-58.0,3.879100877283401,255.80620147439447
2.0,-42.0,3.8684790456354143,254.40721215084486
8.0,-88.0,3.8485137227890904,251.78798386643103
-2.0,-50.0,3.7930823126556246,244.58704831987598
2.0,-26.0,3.789623571439222,244.141195824532
2.0,-30.0,3.7738493480794295,242.11296133399208
-10.0,-48.0,3.7692602288001296,241.52448543104492
6.0,-38.0,3.769168709078052,241.51275687738286
4.0,-40.0,3.7606747559211935,240.4254685369898
6.0,-30.0,3.7402112569661283,237.8160641945145
-12.0,-46.0,3.7373426761639124,237.45141474429258
-14.0,-50.0,3.696221110573982,232.25485847029694
4.0,-86.0,3.692771203919571,231.82150579645918
4.0,-50.0,3.6250505166952234,223.3968512260692
-14.0,-46.0,3.623556840295327,223.21279097246787
2.0,-44.0,3.60873373714672,221.3903061555559
-32.0,-56.0,3.598284760777866,220.1101047339858
6.0,-88.0,3.5920062270985853,219.34264850375524
2.0,-80.0,3.590155181607406,219.11664187638263
4.0,-26.0,3.5650329494079434,216.0608188161931
-14.0,-48.0,3.55948832041844,215.3892707543199
4.0,-82.0,3.53283536715548,212.17573743421815
2.0,-56.0,3.5201894444740494,210.65947332477077
-12.0,-52.0,3.5068585143818893,209.06696287817678
-16.0,-68.0,3.4990476798301113,208.13668931731627
-12.0,-40.0,3.4787846379304237,205.73302347071206
4.0,-80.0,3.477957890126646,205.63524845340123
4.0,-38.0,3.4604441817122575,203.56945689068567
-28.0,-54.0,3.4498439517047825,202.32419594893918
-6.0,-90.0,3.438458544438908,200.99095175102386
4.0,-36.0,3.3999830758908764,196.51804357785454
-16.0,-46.0,3.3864798174434347,194.9601744171792
10.0,-72.0,3.367730560350703,192.80735516104102
-4.0,-70.0,3.3613157454419795,192.0735401894549
8.0,-30.0,3.3494007229618163,190.71424845061136
6.0,-34.0,3.344084283756468,190.1092948467392
4.0,-76.0,3.3339350346448913,188.95708785895476
-24.0,-54.0,3.3312911573554578,188.65751317626933
-16.0,-52.0,3.2974508986520368,184.84410129335913
-30.0,-60.0,3.2826859799238046,183.19246312740125
-2.0,-58.0,3.2715605400517824,181.95284224280647
-28.0,-60.0,3.2680727999818413,181.56509704167956
-26.0,-56.0,3.264164524375236,181.1310907172268
0.0,-32.0,3.2597988369189532,180.6469037720287
-24.0,-56.0,3.257390679379152,180.38009864780497
-40.0,-72.0,3.2400204410474327,178.4614517928884
-18.0,-46.0,3.236404221327702,178.06330882507206
-4.0,-60.0,3.223957866374303,176.69637351066473
4.0,-44.0,3.1995052603608114,174.02617648830056
-12.0,-50.0,3.197684594844045,173.82817505774972
-28.0,-36.0,3.184834895765369,172.43394632584176
-8.0,-54.0,3.1843670431281375,172.38328891113082
-30.0,-58.0,3.180190103570893,171.9313546124542
-16.0,-44.0,3.1762317873657806,171.50362224023797
