month,lat,lon,observed,predicted,squared_error
2015-07-01,4.0,-90.0,37.0121,11.831041,634.0857265027043
2015-12-01,2.0,-90.0,25.470734,3.9688177,462.3323887339657
2015-01-01,-12.0,-74.0,29.960632,9.929476,401.2472323266593
2016-05-01,6.0,-84.0,32.9113,12.881782,401.1816346207788
2016-03-01,2.0,-28.0,26.018143,9.346466,277.94480184675194
2016-01-01,-12.0,-44.0,20.175934,3.646647,273.2173241471012
2016-04-01,-4.0,-34.0,23.5672,8.182107,236.70107847348936
2015-05-01,6.0,-32.0,18.188477,3.5290337,214.89926618560276
2015-08-01,6.0,-82.0,30.406952,15.976944,208.22512899176218
2015-12-01,2.0,-84.0,20.044327,5.7097664,205.4796216974646
2016-03-01,-2.0,-50.0,23.633957,9.795744,191.49613811780364
2015-10-01,8.0,-88.0,24.61052,11.022658,184.62996821565412
2016-01-01,-12.0,-40.0,15.4953,1.9386121,183.78379466750584
2016-05-01,-50.0,-74.0,1.1425018,14.659527,182.70996468562225
2016-03-01,8.0,-72.0,23.675919,10.22215,181.0038930447272
2015-12-01,2.0,-86.0,17.902374,4.585,177.35245636671698
2015-01-01,2.0,-32.0,24.360657,11.448856,166.71458916972915
2016-04-01,-34.0,-70.0,14.976501,2.2142823,162.87423866885598
2016-03-01,-6.0,-90.0,19.407272,6.76876,159.7319889752182
2015-06-01,4.0,-90.0,23.176193,10.702577,155.59111108470915
2015-06-01,4.0,-32.0,20.76912,8.393029,153.16760491936384
2015-01-01,2.0,-36.0,23.68164,11.316363,152.90008246710295
2016-04-01,-32.0,-58.0,15.384674,3.6978958,136.5807871960556
2015-01-01,2.0,-34.0,23.55194,11.873222,136.39246736472705
2015-10-01,6.0,-90.0,28.650284,17.099506,133.4204593598988
2015-04-01,-2.0,-80.0,20.841599,9.35824,131.86751975652078
2015-09-01,6.0,-84.0,26.145935,14.686247,131.3244533351426
2016-03-01,-2.0,-56.0,20.89119,9.431558,131.32316373869344
2016-01-01,-50.0,-74.0,9.4947815,20.95441,131.3230981661618
2015-07-01,-26.0,-54.0,16.126633,4.686844,130.86876820866019
