month,lat,lon,observed,predicted,squared_error
2022-03-01,0.0,-48.0,36.1166,15.012718,445.37382854521275
2022-03-01,2.0,-46.0,29.84047,10.624746,369.24401186235264
2022-03-01,0.0,-42.0,29.129028,10.059734,363.6379727366293
2022-09-01,6.0,-90.0,31.570435,13.730226,318.2730574228344
2022-03-01,0.0,-50.0,34.35421,16.917648,304.0336798891076
2022-11-01,-20.0,-38.0,22.846222,5.687053,294.43707116984683
2022-02-01,4.0,-28.0,23.387909,6.3393626,290.6529314287693
2022-06-01,8.0,-84.0,30.519485,13.563802,287.4952100122109
2022-03-01,0.0,-40.0,25.30384,8.466533,283.49493832939424
2022-11-01,6.0,-40.0,31.349182,14.5308895,282.8549665778737
2021-05-01,4.0,-48.0,30.021667,13.731584,265.36683298662047
2021-12-01,4.0,-78.0,40.28511,24.494114,249.35557208991668
2022-03-01,0.0,-26.0,21.777153,6.009308,248.62494079448516
2022-03-01,0.0,-46.0,27.86827,12.3879175,239.6413400082829
2022-11-01,6.0,-44.0,25.52414,10.416771,228.232582065335
2022-03-01,-2.0,-52.0,26.824951,11.877016,223.44076388446047
2021-02-01,-24.0,-38.0,19.005775,4.154218,220.5687528923429
2022-11-01,6.0,-42.0,26.49498,11.704552,218.75676520407433
2021-06-01,4.0,-36.0,24.913788,10.428615,209.82024336992708
2021-05-01,2.0,-32.0,24.709702,10.648071,197.72944526025094
2021-11-01,-16.0,-36.0,16.775131,2.7984924,195.34643197641708
2022-03-01,2.0,-48.0,24.837494,11.027876,190.70554920140785
2022-10-01,6.0,-78.0,36.169052,22.917505,175.60349417591715
2022-03-01,-2.0,-40.0,20.076752,6.978976,171.5517344729799
2021-03-01,-4.0,-90.0,18.3115,5.2206717,171.3698011730603
2021-04-01,0.0,-32.0,22.062302,8.975603,171.26167847018587
2022-06-01,8.0,-86.0,25.100708,12.070185,169.79453747629668
2021-12-01,-8.0,-56.0,21.88301,8.914064,168.19357220217717
2022-11-01,-18.0,-36.0,17.22908,4.3183875,166.68598578217484
2021-04-01,4.0,-40.0,20.87593,8.0388775,164.7899374000881
