month,lat,lon,observed,predicted,squared_error
2022-06-01,7.0,-82.0,41.27884,14.379878,723.5541064947256
2022-03-01,1.0,-48.0,34.226418,12.052677,491.6747627484292
2022-03-01,0.0,-48.0,36.1166,14.12539,483.6133165527144
2022-10-01,3.0,-77.0,34.772873,56.490685,471.6633400186547
2022-10-01,9.0,-84.0,49.776077,28.211704,465.0221835886041
2022-03-01,1.0,-45.0,32.07779,11.94621,405.2804891026253
2022-03-01,0.0,-42.0,29.129028,9.35999,390.81487136802116
2022-03-01,2.0,-46.0,29.84047,10.1799135,386.53745591961433
2022-03-01,0.0,-50.0,34.35421,14.80709,382.0899039809601
2022-03-01,0.0,-41.0,28.686523,9.184935,380.31196655938766
2022-03-01,2.0,-45.0,28.925896,9.490569,377.73191912482525
2022-03-01,-1.0,-48.0,32.92179,13.763234,367.050303953155
2022-11-01,-18.0,-37.0,23.586273,4.7357855,355.3408868688721
2022-11-01,-19.0,-37.0,23.797989,4.9503975,355.2317015868757
2022-03-01,1.0,-40.0,29.460907,10.69571,352.1326109514348
2022-03-01,1.0,-47.0,30.529976,11.934483,345.79237168958934
2022-10-01,7.0,-78.0,38.47885,20.112911,337.3077555361815
2022-04-01,3.0,-78.0,39.125443,20.855938,333.77479639720696
2022-11-01,6.0,-40.0,31.349182,13.954647,302.5698501169827
2022-06-01,8.0,-84.0,30.519485,13.195539,300.11910498130965
2022-11-01,-20.0,-38.0,22.846222,5.739981,292.62347257503484
2022-03-01,1.0,-46.0,29.314041,12.286014,289.95372171517465
2022-02-01,5.0,-53.0,23.513794,6.723454,281.9155155273222
2022-03-01,0.0,-49.0,32.85885,16.095333,281.0154509938002
2022-11-01,-19.0,-38.0,22.117615,5.4327636,278.3842585512414
2022-05-01,1.0,-49.0,32.37915,15.896222,271.6869245538046
2022-02-01,4.0,-28.0,23.387909,6.9378304,270.6050822414966
2022-09-01,6.0,-90.0,31.570435,15.169309,268.99693104672133
2022-03-01,1.0,-49.0,28.40805,12.192314,262.95010664273286
2022-03-01,-2.0,-52.0,26.824951,10.650856,261.60135404445464
