month,lat,lon,observed,predicted,squared_error
2022-06-01,7.0,-82.0,41.27884,14.353507,724.9735070472971
2022-10-01,3.0,-77.0,34.772873,57.05849,496.6487619921245
2022-10-01,9.0,-84.0,49.776077,28.91493,435.18745110487
2022-03-01,1.0,-48.0,34.226418,13.515557,428.93973239362913
2022-03-01,0.0,-48.0,36.1166,16.373425,389.79297908408626
2022-03-01,0.0,-42.0,29.129028,10.154039,360.0502051736148
2022-03-01,2.0,-46.0,29.84047,11.005188,354.7678243650589
2022-11-01,-19.0,-37.0,23.797989,5.190771,346.2285538359756
2022-03-01,0.0,-41.0,28.686523,10.355359,336.03158679503485
2022-03-01,2.0,-45.0,28.925896,10.647553,334.09779529880416
2022-11-01,-18.0,-37.0,23.586273,5.374128,331.6822374671958
2022-06-01,8.0,-84.0,30.519485,12.665094,318.7792814811437
2022-03-01,0.0,-50.0,34.35421,16.57981,315.92932063731496
2022-09-01,4.0,-77.0,20.299911,37.892498,309.4991003698815
2022-03-01,1.0,-45.0,32.07779,14.493425,309.20985508215745
2022-09-01,6.0,-90.0,31.570435,14.101347,305.16902160121026
2022-11-01,6.0,-40.0,31.349182,13.8998375,304.4796281913441
2022-03-01,-1.0,-48.0,32.92179,15.53686,302.23581233734967
2022-11-01,-20.0,-38.0,22.846222,5.471495,301.8811304123685
2022-11-01,-19.0,-38.0,22.117615,4.8146706,299.3918774121121
2022-02-01,4.0,-28.0,23.387909,6.1616,296.74571565268343
2022-03-01,1.0,-47.0,30.529976,13.527447,289.08599730233254
2022-07-01,7.0,-77.0,36.203384,19.240364,287.74405853642384
2022-10-01,7.0,-78.0,38.47885,21.644184,283.4060199303931
2022-03-01,1.0,-40.0,29.460907,12.662633,282.182010730402
2022-06-01,7.0,-83.0,29.569626,12.863598,279.09137102287787
2022-04-01,3.0,-78.0,39.125443,22.470398,277.39050915115513
2022-05-01,1.0,-49.0,32.37915,15.818137,274.26715893067103
2022-06-01,-2.0,-79.0,41.423798,57.827934,269.0956994849839
2022-02-01,5.0,-53.0,23.513794,7.460899,257.6954401002515
