month,lat,lon,observed,predicted,squared_error
2022-03-01,2.0,-46.0,29.84047,11.68579,329.59238042778543
2022-03-01,0.0,-42.0,29.129028,11.866044,298.01062610713507
2022-03-01,0.0,-48.0,36.1166,19.038502,291.6614414460637
2022-11-01,6.0,-40.0,31.349182,14.436885,286.02579823313226
2022-09-01,6.0,-90.0,31.570435,14.718111,284.0008084307228
2022-11-01,-20.0,-38.0,22.846222,6.6556644,262.13415150859873
2022-02-01,4.0,-28.0,23.387909,8.1538105,232.07775511045838
2022-03-01,0.0,-50.0,34.35421,19.185677,230.08440323756076
2022-11-01,6.0,-44.0,25.52414,11.142817,206.82244722420364
2022-03-01,0.0,-26.0,21.777153,7.5339327,202.86932534854805
2022-06-01,8.0,-84.0,30.519485,16.377716,199.9896420224104
2022-03-01,0.0,-40.0,25.30384,11.23638,197.89345937461258
2022-11-01,6.0,-42.0,26.49498,12.813983,187.16967603652392
2022-03-01,2.0,-88.0,15.184402,1.8691604,177.29567090543293
2022-03-01,-2.0,-52.0,26.824951,13.835309,168.73080300968377
2022-03-01,2.0,-48.0,24.837494,11.915255,166.9842686192169
2022-03-01,-12.0,-74.0,26.860237,14.0126505,165.06048226096118
2022-01-01,8.0,-36.0,13.642311,0.89563257,162.47781357698742
2022-12-01,6.0,-78.0,8.131027,20.66787,157.17241601325804
2022-04-01,4.0,-88.0,21.16394,9.701289,131.3923737420928
2022-09-01,6.0,-78.0,11.888504,23.040157,124.3593710957939
2022-03-01,6.0,-54.0,16.25824,5.31432,119.76937749522426
2022-11-01,-18.0,-36.0,17.22908,6.438038,116.44659452211636
2022-12-01,6.0,-80.0,6.4105988,17.181425,116.01070004044232
2022-04-01,0.0,-40.0,25.115967,14.410618,114.60449653748947
2022-03-01,-4.0,-42.0,23.231506,12.541418,114.27798726517722
2022-03-01,-2.0,-78.0,19.842148,9.362701,109.81879708380438
2022-06-01,4.0,-78.0,24.34349,34.729294,107.86490857973695
2022-11-01,-18.0,-38.0,16.9487,6.5815606,107.47757808351002
2022-11-01,-24.0,-40.0,14.608383,4.2930093,106.40693864630725
